Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",0,4.05,Penguin Books,Paperback,474,2003,1815,,2025/05/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
45169408,Menace of the Machine: The Rise of AI in Classic Science Fiction,Mike Ashley,"Ashley, Mike",,"=""0712352422""","=""9780712352420""",3,3.90,British Library Publishing,Paperback,352,2019,2019,2025/11/27,2025/08/13,,,read,,,,1,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",4,4.01,Hyperion,Hardcover,196,2003,2003,2025/11/20,2024/02/05,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.23,Crown Publishers,Hardcover,480,2011,2011,,2025/10/13,"to-read, physical-tbr","to-read (#237), physical-tbr (#15)",to-read,,,,0,0
13537891,NW,Zadie Smith,"Smith, Zadie",,"=""0241144140""","=""9780241144145""",0,3.48,Hamish Hamilton,Hardcover,296,2012,2012,,2025/10/10,"to-read, physical-tbr","to-read (#236), physical-tbr (#14)",to-read,,,,0,0
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,"=""000100039X""","=""9780001000391""",3,4.23,Rupa & Co,Paperback,127,2003,1923,2025/10/04,2025/07/11,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.89,Penguin Books,Paperback,107,2002,1937,2025/07/11,2024/02/05,,,read,,,,1,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,4.35,New York Review Books,Paperback,292,2006,1965,,2024/07/23,currently-reading,currently-reading (#2),currently-reading,,,,1,0
39101777,Surrounded by Idiots,Thomas Erikson,"Erikson, Thomas",,"=""125023400X""","=""9781250234001""",4,3.51,Macmillan Audio,Audiobook,304,2019,2014,2025/07/01,2025/05/26,,,read,,,,1,0
40539136,Lie With Me,Philippe Besson,"Besson, Philippe",Molly Ringwald,"=""1501197878""","=""9781501197871""",0,4.26,Scribner,Hardcover,149,2019,2017,,2025/06/24,to-read,to-read (#235),to-read,,,,0,0
275,The Lover,Marguerite Duras,"Duras, Marguerite","Maxine Hong Kingston, Barbara Bray","=""""","=""""",4,3.71,Pantheon Books,Paperback,117,1998,1984,2025/06/22,2025/06/12,,,read,,,,1,0
